G   Best    Average    STD
1 0.149225 0.101809 0.0368137
2 0.156405 0.133835 0.0215997
3 0.156405 0.141559 0.00949978
4 0.176053 0.150804 0.0148494
5 0.176053 0.15346 0.0128362
6 0.258578 0.198074 0.0442297
7 0.258578 0.229731 0.0244301
8 0.258578 0.232533 0.0207577
9 0.258578 0.233385 0.0197719
10 0.258578 0.233385 0.0197719
11 0.258578 0.233385 0.0197719
12 0.258578 0.233385 0.0197719
13 0.258578 0.234031 0.0189863
14 0.258578 0.240653 0.0154698
15 0.258578 0.24706 0.0057708
16 0.258578 0.24706 0.0057708
17 0.258578 0.24706 0.0057708
18 0.258578 0.24706 0.0057708
19 0.258578 0.24706 0.0057708
20 0.258578 0.24706 0.0057708
21 0.258578 0.24706 0.0057708
22 0.258578 0.24706 0.0057708
23 0.258578 0.248731 0.005793
24 0.258578 0.248731 0.005793
25 0.258578 0.248849 0.00569656
26 0.258578 0.248849 0.00569656
27 0.258578 0.250515 0.00535499
28 0.258578 0.250515 0.00535499
29 0.258578 0.252181 0.00439865
30 0.258578 0.252181 0.00439865
31 0.258578 0.252181 0.00439865
32 0.258578 0.253661 0.00247133
33 0.258578 0.253661 0.00247133
34 0.258578 0.253661 0.00247133
35 0.260744 0.25538 0.00356787
36 0.270971 0.259144 0.00671456
37 0.270971 0.259144 0.00671456
38 0.277261 0.264054 0.0088519
39 0.277261 0.26412 0.0087672
40 0.277261 0.26444 0.00837853
41 0.277261 0.26444 0.00837853
42 0.277261 0.26444 0.00837853
43 0.277261 0.267705 0.00699131
44 0.277261 0.267705 0.00699131
45 0.277261 0.267705 0.00699131
46 0.27838 0.271665 0.00627096
47 0.27838 0.271665 0.00627096
48 0.27838 0.271665 0.00627096
49 0.27838 0.271665 0.00627096
50 0.27838 0.271665 0.00627096
51 0.27838 0.271665 0.00627096
52 0.27838 0.271665 0.00627096
53 0.27838 0.271665 0.00627096
54 0.27838 0.273711 0.00337422
55 0.27838 0.273711 0.00337422
56 0.27838 0.273711 0.00337422
57 0.27838 0.273711 0.00337422
58 0.27838 0.273711 0.00337422
59 0.27838 0.273711 0.00337422
60 0.27838 0.273711 0.00337422
61 0.27838 0.273711 0.00337422
62 0.27838 0.273711 0.00337422
63 0.280245 0.275565 0.00387074
64 0.542692 0.329909 0.106437
65 0.542692 0.343658 0.102295
66 0.542692 0.360438 0.0967583
67 0.542692 0.360438 0.0967583
68 0.542692 0.360438 0.0967583
69 0.542692 0.378799 0.0835931
70 0.542692 0.378799 0.0835931
71 0.542692 0.378799 0.0835931
72 0.542692 0.378799 0.0835931
73 0.542692 0.378799 0.0835931
74 0.542692 0.378799 0.0835931
75 0.542692 0.380153 0.0825064
76 0.542692 0.380153 0.0825064
77 0.542692 0.380153 0.0825064
78 0.542692 0.380153 0.0825064
79 0.542692 0.380153 0.0825064
80 0.542692 0.397292 0.0760984
81 0.542692 0.401483 0.0733394
82 0.542692 0.401483 0.0733394
83 0.542692 0.418073 0.0668721
84 0.542692 0.418073 0.0668721
85 0.542692 0.425051 0.0621728
86 0.542692 0.425051 0.0621728
87 0.542692 0.425051 0.0621728
88 0.542692 0.446393 0.054408
89 0.542692 0.446393 0.054408
90 0.542692 0.446393 0.054408
91 0.542692 0.446393 0.054408
92 0.542692 0.446393 0.054408
93 0.542692 0.446393 0.054408
94 0.542692 0.459224 0.0481073
95 0.542692 0.459224 0.0481073
96 0.542692 0.466294 0.0412792
97 0.542692 0.466294 0.0412792
98 0.542692 0.466294 0.0412792
99 0.542692 0.466294 0.0412792
100 0.542692 0.466294 0.0412792
