G   Best    Average    STD
1 0.141847 0.0733184 0.048574
2 0.192544 0.154188 0.0302351
3 0.192544 0.166473 0.017339
4 0.192544 0.166473 0.017339
5 0.225126 0.18209 0.0258697
6 0.225126 0.18209 0.0258697
7 0.225126 0.18209 0.0258697
8 0.225126 0.187756 0.0209569
9 0.225126 0.196805 0.0176664
10 0.23788 0.215231 0.0154009
11 0.23788 0.215231 0.0154009
12 0.23788 0.21916 0.0109846
13 0.23788 0.21916 0.0109846
14 0.23788 0.21916 0.0109846
15 0.23788 0.219911 0.0102947
16 0.23788 0.219911 0.0102947
17 0.23788 0.219911 0.0102947
18 0.266405 0.231313 0.0197153
19 0.266405 0.231313 0.0197153
20 0.266405 0.231313 0.0197153
21 0.266405 0.231313 0.0197153
22 0.266405 0.231313 0.0197153
23 0.267415 0.242251 0.021463
24 0.267415 0.242251 0.021463
25 0.267415 0.242251 0.021463
26 0.267415 0.242251 0.021463
27 0.267415 0.242251 0.021463
28 0.267415 0.242251 0.021463
29 0.314112 0.262188 0.0306777
30 0.314112 0.262188 0.0306777
31 0.314112 0.262188 0.0306777
32 0.314112 0.262188 0.0306777
33 0.314112 0.271346 0.0244495
34 0.314112 0.271346 0.0244495
35 0.314112 0.271346 0.0244495
36 0.314112 0.271346 0.0244495
37 0.314112 0.271346 0.0244495
38 0.314112 0.278416 0.0180143
39 0.314112 0.278416 0.0180143
40 0.314112 0.278416 0.0180143
41 0.314112 0.278416 0.0180143
42 0.314112 0.278416 0.0180143
43 0.314112 0.278416 0.0180143
44 0.314112 0.278416 0.0180143
45 0.314112 0.278416 0.0180143
46 0.314112 0.278416 0.0180143
47 0.314112 0.278416 0.0180143
48 0.314112 0.278416 0.0180143
49 0.314112 0.278416 0.0180143
50 0.314112 0.278416 0.0180143
51 0.447829 0.314701 0.068697
52 0.447829 0.316399 0.0676032
53 0.447829 0.342885 0.067235
54 0.447829 0.348144 0.0625973
55 0.447829 0.387449 0.0437677
56 0.6403 0.452686 0.0968025
57 0.697977 0.572857 0.121172
58 0.697977 0.665141 0.0215645
59 0.697977 0.665141 0.0215645
60 0.902933 0.717667 0.094295
61 0.902933 0.730844 0.0871842
62 0.902933 0.73657 0.0840098
63 0.902933 0.73657 0.0840098
64 0.902933 0.73657 0.0840098
65 0.971468 0.817595 0.106565
66 0.971468 0.817595 0.106565
67 0.971468 0.817595 0.106565
68 0.971468 0.817595 0.106565
69 0.971468 0.818925 0.105127
70 0.971468 0.818925 0.105127
71 0.971468 0.818925 0.105127
72 0.971468 0.818925 0.105127
73 1.04433 0.886348 0.119046
74 1.13189 0.973798 0.108769
75 1.13189 0.973798 0.108769
76 1.13189 0.973798 0.108769
77 1.13189 0.991501 0.0870699
78 1.13189 1.00311 0.0778718
79 1.24383 1.0705 0.106116
80 1.24383 1.0705 0.106116
81 1.24383 1.07697 0.10005
82 1.27593 1.13786 0.10951
83 1.27593 1.13786 0.10951
84 1.27593 1.13786 0.10951
85 1.27593 1.13786 0.10951
86 1.27593 1.13786 0.10951
87 1.27593 1.13786 0.10951
88 1.27593 1.13786 0.10951
89 1.38874 1.21694 0.118949
90 1.38874 1.21694 0.118949
91 1.38874 1.21694 0.118949
92 1.38874 1.21694 0.118949
93 1.38874 1.281 0.091914
94 1.38874 1.28196 0.0903636
95 1.38874 1.28982 0.0782966
96 1.38874 1.29308 0.073692
97 1.38874 1.29308 0.073692
98 1.38874 1.29308 0.073692
99 1.38874 1.29308 0.073692
100 1.38874 1.31913 0.0537816
