G   Best    Average   STD
1 0.228952 -3999.91 4899.05
2 0.228952 -1999.88 4000.06
3 0.341491 0.221964 0.0628205
4 0.382143 0.269597 0.0776399
5 0.445321 0.375472 0.0647847
6 0.445321 0.393113 0.0417049
7 0.445321 0.396956 0.0374387
8 1.61099 0.666053 0.473136
9 1.61099 0.666053 0.473136
10 1.61099 0.686123 0.46268
11 1.61099 0.686123 0.46268
12 1.61099 0.686123 0.46268
13 1.61099 0.68616 0.46266
14 4.77218 1.55298 1.67017
15 5.40381 3.04902 1.85336
16 5.40381 3.5702 1.35875
17 5.40381 4.35564 0.766291
18 5.40381 4.35564 0.766291
19 5.62633 4.86322 0.57561
20 5.62633 4.90285 0.527785
21 5.62633 4.90285 0.527785
22 5.62633 4.94275 0.487974
23 5.62633 5.01358 0.425065
24 5.62633 5.06177 0.376815
25 5.62633 5.06177 0.376815
26 5.62633 5.06177 0.376815
27 5.62633 5.06177 0.376815
28 5.62633 5.06177 0.376815
29 5.62633 5.06177 0.376815
30 5.62633 5.06177 0.376815
31 5.62633 5.213 0.372963
32 5.62633 5.37189 0.308391
33 5.62633 5.37189 0.308391
34 5.62633 5.37189 0.308391
35 5.62633 5.53788 0.0789008
36 6.01061 5.672 0.17127
37 6.11407 5.86762 0.211498
38 6.11407 5.97507 0.0870443
39 6.17498 6.06472 0.0700669
40 6.28388 6.14674 0.0810405
41 6.28388 6.18056 0.0623118
42 6.31725 6.249 0.0512278
43 6.36417 6.28683 0.0524401
44 6.36417 6.30079 0.0366454
45 6.36417 6.31 0.0306205
46 6.36417 6.31 0.0306205
47 6.36417 6.3136 0.0275893
48 6.37015 6.33085 0.0304382
49 6.37015 6.3414 0.0253247
50 6.37015 6.3419 0.0246532
51 6.37015 6.346 0.0201151
52 6.37015 6.35352 0.0140829
53 6.38626 6.36489 0.0129485
54 6.38626 6.36933 0.0102675
55 6.38626 6.36933 0.0102675
56 6.38626 6.36933 0.0102675
57 6.38626 6.36933 0.0102675
58 6.38626 6.36933 0.0102675
59 6.38626 6.36933 0.0102675
60 6.39448 6.37726 0.0112785
61 6.39448 6.38232 0.00986083
62 6.39448 6.38534 0.00775904
63 6.39448 6.38534 0.00775904
64 6.39448 6.38534 0.00775904
65 6.3973 6.39056 0.00466481
66 6.3973 6.39241 0.00397214
67 6.3973 6.39241 0.00397214
68 6.3973 6.39241 0.00397214
69 6.3973 6.39241 0.00397214
70 6.3973 6.3928 0.00340714
71 6.3973 6.3928 0.00340714
72 6.3973 6.39412 0.00253874
73 6.3973 6.39412 0.00253874
74 6.3973 6.39412 0.00253874
75 6.3973 6.39412 0.00253874
76 6.3973 6.39412 0.00253874
77 6.40762 6.39775 0.00504619
78 6.40762 6.39775 0.00504619
79 6.40762 6.40034 0.00595528
80 6.40762 6.40251 0.00538438
81 6.40892 6.40533 0.0041739
82 6.4094 6.40775 0.00140903
83 6.4094 6.40775 0.00140903
84 6.4094 6.40807 0.000931259
85 6.4094 6.40807 0.000931259
86 6.4094 6.40845 0.000772248
87 6.4094 6.40845 0.000772248
88 6.40983 6.40893 0.000742381
89 6.40983 6.40893 0.000742381
90 6.40983 6.40894 0.000727278
91 6.40983 6.40894 0.000727278
92 6.40983 6.40894 0.000727278
93 6.40983 6.40931 0.000366762
94 6.40983 6.40931 0.000366762
95 6.41359 6.41026 0.00169347
96 6.41749 6.41198 0.00316384
97 6.41749 6.41251 0.00290508
98 6.41749 6.41251 0.00290508
99 6.41749 6.41251 0.00290508
100 6.41749 6.41326 0.00249377
