G   Best    Average   STD
1 0.129392 -3999.94 4899.03
2 0.129392 0.095648 0.0192803
3 0.204553 0.123576 0.0426894
4 0.204553 0.124572 0.042008
5 0.204553 0.152367 0.0308047
6 0.329458 0.234744 0.0609901
7 0.329458 0.238072 0.0571249
8 0.329458 0.251243 0.0482255
9 0.556042 0.323335 0.122923
10 0.556042 0.437438 0.111972
11 0.556042 0.437438 0.111972
12 0.556042 0.437438 0.111972
13 0.556042 0.437438 0.111972
14 0.556042 0.437438 0.111972
15 0.556042 0.437438 0.111972
16 0.556042 0.437438 0.111972
17 0.556042 0.437438 0.111972
18 0.556042 0.437438 0.111972
19 0.556042 0.439068 0.109686
20 0.556042 0.525474 0.0266351
21 0.556042 0.525474 0.0266351
22 0.556042 0.525474 0.0266351
23 0.556042 0.525474 0.0266351
24 0.556042 0.525474 0.0266351
25 0.556042 0.525474 0.0266351
26 0.556042 0.525474 0.0266351
27 0.556042 0.525474 0.0266351
28 0.556042 0.525474 0.0266351
29 0.556042 0.525474 0.0266351
30 0.556042 0.525474 0.0266351
31 0.556042 0.525474 0.0266351
32 0.556042 0.525474 0.0266351
33 0.556042 0.525474 0.0266351
34 0.556042 0.525474 0.0266351
35 0.556042 0.525474 0.0266351
36 0.556042 0.533324 0.0202909
37 0.556042 0.533324 0.0202909
38 0.556042 0.533324 0.0202909
39 0.556042 0.533324 0.0202909
40 0.556042 0.533324 0.0202909
41 0.556042 0.533324 0.0202909
42 0.556042 0.533324 0.0202909
43 0.556042 0.533324 0.0202909
44 0.556042 0.533324 0.0202909
45 0.556042 0.533324 0.0202909
46 0.556042 0.533324 0.0202909
47 0.556042 0.533324 0.0202909
48 0.556042 0.533324 0.0202909
49 0.556042 0.533324 0.0202909
50 0.556042 0.533324 0.0202909
51 0.556042 0.533324 0.0202909
52 0.556042 0.533324 0.0202909
53 0.556042 0.533324 0.0202909
54 0.556042 0.533324 0.0202909
55 0.556042 0.533324 0.0202909
56 0.556042 0.533324 0.0202909
57 0.556042 0.533324 0.0202909
58 0.556042 0.533324 0.0202909
59 0.556042 0.533324 0.0202909
60 0.556042 0.533324 0.0202909
61 0.556042 0.533324 0.0202909
62 0.556042 0.533324 0.0202909
63 0.556042 0.533324 0.0202909
64 0.556042 0.533324 0.0202909
65 0.556042 0.533324 0.0202909
66 0.556042 0.533324 0.0202909
67 0.556042 0.533324 0.0202909
68 0.556042 0.533324 0.0202909
69 0.556042 0.533324 0.0202909
70 0.556042 0.533324 0.0202909
71 0.556042 0.533324 0.0202909
72 0.556042 0.533324 0.0202909
73 0.556042 0.533324 0.0202909
74 0.556042 0.533324 0.0202909
75 0.556042 0.533324 0.0202909
76 0.556042 0.533592 0.0198273
77 0.556042 0.533592 0.0198273
78 0.556042 0.533592 0.0198273
79 0.556042 0.533592 0.0198273
80 0.556042 0.533592 0.0198273
81 0.556042 0.533592 0.0198273
82 0.556042 0.533592 0.0198273
83 0.556042 0.533592 0.0198273
84 0.556042 0.533592 0.0198273
85 0.603648 0.554432 0.0265934
86 0.603648 0.554432 0.0265934
87 0.603648 0.554432 0.0265934
88 0.630624 0.574545 0.036673
89 0.630624 0.574545 0.036673
90 0.630624 0.574545 0.036673
91 0.630624 0.574545 0.036673
92 0.630624 0.574545 0.036673
93 0.630624 0.574545 0.036673
94 0.630624 0.574545 0.036673
95 0.630624 0.574545 0.036673
96 0.630624 0.574545 0.036673
97 0.630624 0.574545 0.036673
98 0.630624 0.574545 0.036673
99 0.630624 0.574545 0.036673
100 0.630624 0.574545 0.036673
