G   Best    Average     STD
1 0.141847 0.0733184 0.048574
2 0.192544 0.154188 0.0302351
3 0.192544 0.166473 0.017339
4 0.192544 0.166473 0.017339
5 0.225126 0.18209 0.0258697
6 0.225126 0.18209 0.0258697
7 0.225126 0.18209 0.0258697
8 0.271666 0.209562 0.0352939
9 0.271666 0.212509 0.0331513
10 0.331579 0.26499 0.0484023
11 0.331579 0.26499 0.0484023
12 0.331579 0.26499 0.0484023
13 0.331579 0.26499 0.0484023
14 0.331579 0.26499 0.0484023
15 0.331579 0.26499 0.0484023
16 0.331579 0.26499 0.0484023
17 0.331579 0.26499 0.0484023
18 0.331579 0.26499 0.0484023
19 0.432128 0.311845 0.0695183
20 0.432128 0.315183 0.0655624
21 0.432128 0.315183 0.0655624
22 0.475722 0.361989 0.0786353
23 0.475722 0.371933 0.0691746
24 0.475722 0.372444 0.0686395
25 0.475722 0.372444 0.0686395
26 0.475722 0.372444 0.0686395
27 0.475722 0.372444 0.0686395
28 0.475722 0.372444 0.0686395
29 0.475722 0.372444 0.0686395
30 0.475722 0.372444 0.0686395
31 0.475722 0.372444 0.0686395
32 0.475722 0.372444 0.0686395
33 0.475722 0.372444 0.0686395
34 0.475722 0.372444 0.0686395
35 0.475722 0.372444 0.0686395
36 0.475722 0.372444 0.0686395
37 0.475722 0.372444 0.0686395
38 0.475722 0.420618 0.0486919
39 0.475722 0.420618 0.0486919
40 0.475722 0.448872 0.0230799
41 0.475722 0.448872 0.0230799
42 0.501967 0.466081 0.0241488
43 0.501967 0.466081 0.0241488
44 0.501967 0.466081 0.0241488
45 0.501967 0.466081 0.0241488
46 0.501967 0.466081 0.0241488
47 0.501967 0.466081 0.0241488
48 0.501967 0.466081 0.0241488
49 0.501967 0.466081 0.0241488
50 0.501967 0.466081 0.0241488
51 0.501967 0.466081 0.0241488
52 0.501967 0.466081 0.0241488
53 0.501967 0.466081 0.0241488
54 0.501967 0.466081 0.0241488
55 0.501967 0.466081 0.0241488
56 0.501967 0.466081 0.0241488
57 0.507806 0.481217 0.0217186
58 0.507806 0.481217 0.0217186
59 0.507806 0.481217 0.0217186
60 0.507806 0.481217 0.0217186
61 0.507806 0.481217 0.0217186
62 0.507806 0.488476 0.014016
63 0.507806 0.488476 0.014016
64 0.507806 0.488476 0.014016
65 0.507806 0.488476 0.014016
66 0.507806 0.488476 0.014016
67 0.507806 0.488476 0.014016
68 0.507806 0.492848 0.0116734
69 0.507806 0.492848 0.0116734
70 0.507806 0.492848 0.0116734
71 0.507806 0.492848 0.0116734
72 0.507806 0.492848 0.0116734
73 0.507806 0.492848 0.0116734
74 0.507806 0.492848 0.0116734
75 0.507806 0.492848 0.0116734
76 0.507806 0.492848 0.0116734
77 0.507806 0.492848 0.0116734
78 0.507806 0.498315 0.00828014
79 0.507806 0.498315 0.00828014
80 0.507806 0.498315 0.00828014
81 0.507806 0.498315 0.00828014
82 0.507806 0.498315 0.00828014
83 0.507806 0.498315 0.00828014
84 0.507806 0.498315 0.00828014
85 0.507806 0.498315 0.00828014
86 0.507806 0.498315 0.00828014
87 0.507806 0.498315 0.00828014
88 0.507806 0.498315 0.00828014
89 0.507806 0.498315 0.00828014
90 0.507806 0.498315 0.00828014
91 0.507806 0.498315 0.00828014
92 0.507806 0.498315 0.00828014
93 0.507806 0.498315 0.00828014
94 0.507806 0.498315 0.00828014
95 0.507806 0.498315 0.00828014
96 0.507806 0.498315 0.00828014
97 0.507806 0.498315 0.00828014
98 0.507806 0.498315 0.00828014
99 0.507806 0.498315 0.00828014
100 0.507806 0.498315 0.00828014
